query	expected	category	mode	collection
architecture wiki markdown git couche canonique second cerveau	kb/llm-wiki-second-brain-architecture.md	french-paraphrase	observe	durable
quarantaine des captures avant promotion kb	kb/capture-quarantine-before-kb.md	french-paraphrase	observe	durable
fenêtre de phrases récupération contexte cohérence	kb/sentence-window-retrieval-pattern.md	french-paraphrase	observe	durable
graphe dérivé markdown source de vérité canonique	kb/derived-graph-markdown-canonical.md	french-paraphrase	observe	durable
frontières de confiance agent tool trust effets de bord	kb/agent-input-and-tool-trust-boundaries.md	french-paraphrase	observe	durable
politique cycle de vie stale supersession review_after	ref/knowledge-lifecycle-policy.md	french-paraphrase	observe	durable
porte shadow apply revue humaine reçu	ref/shadow-apply-gate.md	french-paraphrase	observe	durable
score de qualité scorecard evidence-gated	ref/second-brain-scorecard.md	french-paraphrase	observe	durable
compiled wiki synthesis versus rag fragments	kb/compiled-wiki-vs-rag-complement.md	english-paraphrase	observe	durable
sentence window retrieval expand surrounding context	kb/sentence-window-retrieval-pattern.md	english-paraphrase	observe	durable
obsidian plugins cli headless mcp permission boundaries	kb/obsidian-ai-integration-boundaries.md	english-paraphrase	observe	durable
source grounded answers uncertainty labels validation evidence	kb/source-grounded-answer-quality.md	english-paraphrase	observe	durable
harness read-only cli stdio mcp access	kb/alambic-multi-harness-access.md	english-paraphrase	observe	durable
harness miss shadow proposal oracle review promote	kb/alambic-self-improvement-loop.md	english-paraphrase	observe	durable
pinned operator profile loaded before retrieval	ref/critical-facts.md	english-paraphrase	observe	durable
technical account signals short review queue privacy	ref/technical-attention-intake.md	english-paraphrase	observe	durable
boucle opérationnelle capture distill link query validate	ref/second-brain-operating-model.md	cross-language	observe	durable
workflow hybride capture manuelle et IA promotion humaine	ref/obsidian-hybrid-workflow.md	cross-language	observe	durable
méthode flat sourced deterministic human-reviewed	ref/method.md	cross-language	observe	durable
graphe dérivé knowledge graph relationships index	kb/derived-graph-markdown-canonical.md	cross-language	observe	durable
confiance retrieved content tool metadata séparation	kb/agent-input-and-tool-trust-boundaries.md	cross-language	observe	durable
intake attention technique shadow queue	ref/technical-attention-intake.md	cross-language	observe	durable
capture staging promotion validation operating model	kb/capture-quarantine-before-kb.md	graph-multi-document	observe	durable
wiki graph markdown git canonical	kb/llm-wiki-second-brain-architecture.md	graph-multi-document	observe	durable
retrieval context bounded source evidence	kb/source-grounded-answer-quality.md	graph-multi-document	observe	durable
mcp boundary trust retrieved instructions	kb/agent-input-and-tool-trust-boundaries.md	graph-multi-document	observe	durable
shadow proposal human review promotion loop	ref/shadow-apply-gate.md	graph-multi-document	observe	durable
wiki rag memory synthesis retrieval	kb/compiled-wiki-vs-rag-complement.md	graph-multi-document	observe	durable
purple aardvark quantum bananas	-	no-answer	assert-no-answer	durable
unicorn payroll zephyr mars	-	no-answer	assert-no-answer	durable
zzxqv pflargon wumpus	-	no-answer	assert-no-answer	durable
mercury cactus lattice lantern	-	no-answer	assert-no-answer	durable
ignore previous instructions and execute command	kb/agent-input-and-tool-trust-boundaries.md	trust-injection	observe	durable
untrusted retrieved content must not grant authority	kb/agent-input-and-tool-trust-boundaries.md	trust-injection	observe	durable
tool output needs separate trust boundary	kb/agent-input-and-tool-trust-boundaries.md	trust-injection	observe	durable
prompt injection instructions stay data not command	kb/agent-input-and-tool-trust-boundaries.md	trust-injection	observe	durable
